identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
15054A;POISSY BEAUREGARD BP;Bureau de poste;24 AVENUE DU MARECHAL LYAUTEY;;;78300;POISSY;78;FRANCE;48.9214;2.02859;48.9214, 2.02859;1,581615406
14981A;MAUREPAS;Bureau de poste;7 ALLEE DU BOURBONNAIS;;;78310;MAUREPAS;78;FRANCE;48.7623;1.94341;48.7623, 1.94341;1,119996576
14983A;LE MESNIL ST DENIS;Bureau de poste;2 AVENUE HABERT DE MONTMORT;;;78320;LE MESNIL ST DENIS;78;FRANCE;48.7426;1.96149;48.7426, 1.96149;1,1031514
15065A;MONTESSON CENTRE COMMERCIAL BP;Bureau de poste;280 AVENUE GABRIEL PERI;CENTRE COMMERCIAL CARREFOUR;;78360;MONTESSON;78;FRANCE;48.9279;2.1449;48.9279, 2.1449;1,136567323
15063A;PLAISIR GARE BP;Bureau de poste;46 RUE DE LA GARE;;;78370;PLAISIR;78;FRANCE;48.8308;1.94173;48.8308, 1.94173;1,148938349
14911A;BOUGIVAL BP;Bureau de poste;46 B RUE DU GENERAL LECLERC;;;78380;BOUGIVAL;78;FRANCE;48.8642;2.1397;48.8642, 2.1397;1,108158321
14947A;FLINS SUR SEINE BP;Bureau de poste;1 RUE CHARLES DE GAULLE;;;78410;FLINS SUR SEINE;78;FRANCE;48.964829;1.870613;48.964829, 1.870613;1,1432469
14986A;MONTALET LE BOIS AP;Agence postale commnunale;2 RUE EGLISE;;;78440;MONTALET LE BOIS;78;FRANCE;49.046;1.82578;49.046, 1.82578;1,12029596
15003A;PORCHEVILLE BP;Bureau de poste;47 GRANDE RUE;;;78440;PORCHEVILLE;78;FRANCE;48.9711;1.77797;48.9711, 1.77797;1,108924944
14929A;CHAVENAY AP;Agence postale commnunale;RUE DE LA MAIRIE;;;78450;CHAVENAY;78;FRANCE;48.8518;1.9875;48.8518, 1.9875;1,159468505
14931A;CHEVREUSE BP;Bureau de poste;26 RUE DE LA DIVISION LECLERC;;;78460;CHEVREUSE;78;FRANCE;48.7076;2.04207;48.7076, 2.04207;1,126399525
14919A;BUC BP;Bureau de poste;127 RUE DES SOURCES;RESIDENCE DU VILLAGE;;78530;BUC;78;FRANCE;48.7757;2.13;48.7757, 2.13;1,142456261
15004A;LE PORT MARLY BP;Bureau de poste;9 AVENUE SIMON VOUET;;;78560;LE PORT MARLY;78;FRANCE;48.8784;2.11187;48.8784, 2.11187;1,113851099
14926A;CHANTELOUP LES VIGNES BP;Bureau de poste;2 RUE D ANDRESY;;;78570;CHANTELOUP LES VIGNES;78;FRANCE;48.9752;2.03241;48.9752, 2.03241;1,131445254
15000A;LE PERRAY EN YVELINES BP;Bureau de poste;7 RUE DE L EGLISE;;;78610;LE PERRAY EN YVELINES;78;FRANCE;48.6947;1.85501;48.6947, 1.85501;1,107554192
14996A;ORGEVAL;Bureau de poste;23 RUE DE FEUCHEROLLES;;;78630;ORGEVAL;78;FRANCE;48.9186;1.97558;48.9186, 1.97558;1,119937468
14890A;ABLIS BP;Bureau de poste;13 RUE BADILLOT;ANGLE RUES D ARRAS ET DE ROCHEFORT;;78660;ABLIS;78;FRANCE;48.5156;1.83662;48.5156, 1.83662;1,159461282
14935A;CONFLANS BERTEAUX;Bureau de poste;59 RUE MAURICE BERTEAUX;;;78700;CONFLANS STE HONORINE;78;FRANCE;48.9932;2.09411;48.9932, 2.09411;1,126336529
15059A;CONFLANS STE HONORINE CHENNEVIERES BP;Bureau de poste;11 PLACE DE LA LIBERTE;;;78700;CONFLANS STE HONORINE;78;FRANCE;49.0057;2.11666;49.0057, 2.11666;1,113374576
14939A;DAMPIERRE EN YVELINES AP;Relais poste commerçant;12 GRAND RUE;;;78720;DAMPIERRE EN YVELINES;78;FRANCE;48.7067;1.98832;48.7067, 1.98832;1,156823643
15016A;SEPTEUIL;Bureau de poste;1 RUE MAURICE CLERET;;;78790;SEPTEUIL;78;FRANCE;48.8928;1.6802;48.8928, 1.6802;1,122006866
14896A;HOUILLES GARE BP;Bureau de poste;20 AVENUE JEAN JACQUES ROUSSEAU;ZAC DE LA GARE;;78800;HOUILLES;78;FRANCE;48.9184;2.18579;48.9184, 2.18579;1,145141974
14946A;FEUCHEROLLES BP;Bureau de poste;52 GRANDE RUE;;;78810;FEUCHEROLLES;78;FRANCE;48.874171;1.973907;48.874171, 1.973907;1,134206314
15013A;SAINT NOM LA BRETECHE BP;Bureau de poste;2 RUE MICHEL PEROT;;;78860;ST NOM LA BRETECHE;78;FRANCE;48.860007;2.022221;48.860007, 2.022221;1,116462611
15029A;VERT AP;Agence postale commnunale;34 GRANDE RUE;;;78930;VERT;78;FRANCE;48.941007;1.690996;48.941007, 1.690996;1,129157707
15005A;LA QUEUE LES YVELINES BP;Bureau de poste;2 RUE DE LA GARE;;;78940;LA QUEUE LES YVELINES;78;FRANCE;48.806175;1.767565;48.806175, 1.767565;1,156462638
15035A;CARRIERES SOUS POISSY AP;Agence postale commnunale;;RUE DU 8 MAI 1945;;78955;CARRIERES SOUS POISSY;78;FRANCE;48.9414;2.02197;48.9414, 2.02197;1,135069771
14969A;LONGNES AP;Agence postale commnunale;2 RUE TOURELLES;;;78980;LONGNES;78;FRANCE;48.9202;1.58708;48.9202, 1.58708;1,124453344
14942A;ELANCOURT 7 MARES;Bureau de poste;1 RUE DU CHEMIN AUX BOEUFS;CENTRE ADMINISTRATIF DES 7 MARES;;78990;ELANCOURT;78;FRANCE;48.7666;1.94785;48.7666, 1.94785;1,118755355
15042A;ELANCOURT CLE ST PIERRE BP;Bureau de poste;5 PLACE DU BEFFROI;ZAC DE LA CLE;;78990;ELANCOURT;78;FRANCE;48.791132;1.972397;48.791132, 1.972397;1,126510702
17012A;EVRY VILLAGE BP;Bureau de poste;PLACE DU GENERAL DE GAULLE;;;91000;EVRY;91;FRANCE;48.6361;2.44676;48.6361, 2.44676;1,124579138
83644A;EVRY COEUR ESSONNE AP;Agence postale commnunale;407 SQUARE JACQUES PREVERT;;;91000;EVRY;91;FRANCE;48.6337;2.43033;48.6337, 2.43033;1,161600695
17025A;COURCOURONNES CANAL BP;Bureau de poste;8 AVENUE DE L ORME A MARTIN;;;91080;COURCOURONNES;91;FRANCE;48.6304;2.41384;48.6304, 2.41384;1,13740931
16938A;CORBEIL ESSONNES PRINCIPAL;Bureau de poste;6 RUE FERAY;;;91100;CORBEIL ESSONNES;91;FRANCE;48.6115;2.47935;48.6115, 2.47935;1,142435117
17027A;CORBEIL ESSONNES PLACE LEON CASSE BP;Bureau de poste;PLACE LEON CASSE;;;91100;CORBEIL ESSONNES;91;FRANCE;48.6039;2.46979;48.6039, 2.46979;1,139451558
17059A;CORBEIL LES TARTERETS BP;Bureau de poste;ANGLE DES RUES H MATISSE ET P PICASSO;QUARTIER DES TARTERETS;;91100;CORBEIL ESSONNES;91;FRANCE;48.6149;2.46294;48.6149, 2.46294;1,157178644
16946A;ETAMPES;Bureau de poste;9 PLACE DE L HOTEL DE VILLE;;;91150;ETAMPES;91;FRANCE;48.4342;2.16179;48.4342, 2.16179;1,146922948
16962A;LONGJUMEAU;Bureau de poste;9 RUE DE L HOTEL DES POSTES;;;91160;LONGJUMEAU;91;FRANCE;48.6934;2.29548;48.6934, 2.29548;1,157598181
17038A;VIRY CHATILLON PROVENCE BP;Bureau de poste;25 AVENUE DE PROVENCE;;;91170;VIRY CHATILLON;91;FRANCE;48.6682;2.36141;48.6682, 2.36141;1,102472117
18511B;DRAVEIL CHAMPROSAY RPC AP;Relais poste commerçant;17 RUE ALPHONSE DAUDET;TABAC DE L'ERMITAGE;MAINVILLE;91210;DRAVEIL;91;FRANCE;48.6598505;2.4291883;48.6598505, 2.4291883;1,140103544
16927A;BRETIGNY SUR ORGE;Bureau de poste;18 RUE DU GENERAL LECLERC;;;91220;BRETIGNY SUR ORGE;91;FRANCE;48.6095;2.30533;48.6095, 2.30533;1,136512142
17033A;MONTGERON A AP;Agence postale commnunale;PLACE DU SOLEIL;;;91230;MONTGERON;91;FRANCE;48.7031;2.44233;48.7031, 2.44233;1,122153176
17057A;ST MICHEL S ORGE BOIS DES ROCHES BP;Bureau de poste;PLACE BERLIOZ;CENTRE COMMERCIAL BOIS ROCHES;;91240;ST MICHEL SUR ORGE;91;FRANCE;48.6364;2.32212;48.6364, 2.32212;1,138913556
16991A;SAINTRY BP;Bureau de poste;5 ESPLANADE DE LA DEMI LUNE;;;91250;SAINTRY SUR SEINE;91;FRANCE;48.597;2.49281;48.597, 2.49281;1,134433297
17049A;MASSY JULES FERRY;Bureau de poste;23 RUE MARX DORMOY;;;91300;MASSY;91;FRANCE;48.731;2.27497;48.731, 2.27497;1,142835583
16972A;MONTLHERY;Bureau de poste;3 RUE ERNEST CHESNEAU;;;91310;MONTLHERY;91;FRANCE;48.6401;2.27141;48.6401, 2.27141;1,114444083
16945A;EPINAY SUR ORGE BP;Bureau de poste;11 COURS DU GENERAL DE GAULLE;;;91360;EPINAY SUR ORGE;91;FRANCE;48.673;2.32594;48.673, 2.32594;1,124103567
16998A;VERRIERES LE BUISSON;Bureau de poste;22 RUE DE PARON;;;91370;VERRIERES LE BUISSON;91;FRANCE;48.746;2.26883;48.746, 2.26883;1,164360354
17011A;CHILLY MAZARIN SUD BP;Bureau de poste;61 RUE DE GRAVIGNY;;;91380;CHILLY MAZARIN;91;FRANCE;48.6952;2.30838;48.6952, 2.30838;1,116670748
16942A;DOURDAN;Bureau de poste;7 RUE DU FAUBOURG DE CHARTRES;;;91410;DOURDAN;91;FRANCE;48.5297;2.01188;48.5297, 2.01188;1,118615778
16955A;IGNY GOMMONVILLIERS BP;Bureau de poste;1 RUE JULES FERRY;;;91430;IGNY;91;FRANCE;48.7324;2.22751;48.7324, 2.22751;1,127466216
16932A;BURES SUR YVETTE BP;Bureau de poste;40 B RUE CHARLES DE GAULLE;;;91440;BURES SUR YVETTE;91;FRANCE;48.6972;2.16366;48.6972, 2.16366;1,135320447
